time,open,high,low,close,tick_volume,spread,real_volume
2025-09-12 06:03:00,0.59704,0.59712,0.59704,0.59708,48,2,0
2025-09-12 06:06:00,0.59706,0.59716,0.597,0.59709,55,2,0
2025-09-12 06:09:00,0.59708,0.59714,0.59706,0.59712,41,2,0
2025-09-12 06:12:00,0.59711,0.59719,0.59705,0.59711,62,2,0
2025-09-12 06:15:00,0.59712,0.59716,0.59708,0.59714,49,2,0
2025-09-12 06:18:00,0.59713,0.59717,0.59706,0.59708,49,2,0
2025-09-12 06:21:00,0.59708,0.5972,0.59708,0.59718,44,2,0
2025-09-12 06:24:00,0.5972,0.59723,0.59716,0.59718,44,2,0
2025-09-12 06:27:00,0.59717,0.5972,0.59714,0.59717,38,2,0
2025-09-12 06:30:00,0.59718,0.59728,0.59717,0.59727,37,2,0
2025-09-12 06:33:00,0.59728,0.59731,0.59716,0.59716,38,2,0
2025-09-12 06:36:00,0.59717,0.59731,0.59716,0.59725,51,2,0
2025-09-12 06:39:00,0.59726,0.59726,0.59719,0.59725,32,2,0
2025-09-12 06:42:00,0.59725,0.59725,0.59721,0.59724,22,2,0
2025-09-12 06:45:00,0.59723,0.59723,0.5971,0.59715,33,2,0
2025-09-12 06:48:00,0.59715,0.59717,0.59708,0.5971,19,2,0
2025-09-12 06:51:00,0.59711,0.59711,0.597,0.59701,57,2,0
2025-09-12 06:54:00,0.59702,0.59707,0.59689,0.59705,52,2,0
2025-09-12 06:57:00,0.59704,0.5971,0.59699,0.59704,39,2,0
2025-09-12 07:00:00,0.59705,0.59714,0.597,0.597,66,2,0
2025-09-12 07:03:00,0.59699,0.59709,0.59699,0.59704,55,2,0
2025-09-12 07:06:00,0.59706,0.59709,0.59691,0.59694,40,2,0
2025-09-12 07:09:00,0.59694,0.59701,0.59694,0.59699,37,2,0
2025-09-12 07:12:00,0.597,0.59702,0.5969,0.59696,46,2,0
2025-09-12 07:15:00,0.59695,0.59706,0.59695,0.59699,35,2,0
2025-09-12 07:18:00,0.59698,0.597,0.5969,0.59696,41,2,0
2025-09-12 07:21:00,0.59697,0.59705,0.59694,0.59703,31,2,0
2025-09-12 07:24:00,0.59703,0.59714,0.59703,0.59714,26,2,0
2025-09-12 07:27:00,0.59715,0.59717,0.59707,0.59711,23,2,0
2025-09-12 07:30:00,0.59713,0.59718,0.59708,0.59709,28,3,0
2025-09-12 07:33:00,0.59711,0.59717,0.59709,0.59709,22,3,0
2025-09-12 07:36:00,0.59707,0.59707,0.59691,0.59694,55,2,0
2025-09-12 07:39:00,0.59693,0.59694,0.59683,0.59684,61,2,0
2025-09-12 07:42:00,0.59687,0.59689,0.59674,0.59674,62,2,0
2025-09-12 07:45:00,0.59673,0.59674,0.59663,0.59665,65,2,0
2025-09-12 07:48:00,0.59667,0.59684,0.59665,0.59676,48,2,0
2025-09-12 07:51:00,0.59678,0.59678,0.59674,0.59676,29,2,0
2025-09-12 07:54:00,0.59677,0.5968,0.5967,0.5967,35,2,0
2025-09-12 07:57:00,0.5967,0.59682,0.5967,0.59681,56,2,0
2025-09-12 08:00:00,0.59682,0.59686,0.5967,0.59678,89,3,0
2025-09-12 08:03:00,0.59677,0.59687,0.59676,0.59685,59,2,0
2025-09-12 08:06:00,0.59684,0.59685,0.5967,0.59676,30,2,0
2025-09-12 08:09:00,0.59675,0.59686,0.59675,0.59685,17,2,0
2025-09-12 08:12:00,0.59684,0.59688,0.59684,0.59687,45,2,0
